,date.v2,pm25,x,y,id,name,AQI,color
1,2017/10/1,43.52727273,120.595589,24.305014,74DA3895C4F4,???????,Unhealthy for Sensitive Groups,#fc9f00
2,2017/10/2,42.875,120.595589,24.305014,74DA3895C4F4,???????,Unhealthy for Sensitive Groups,#fc9f00
3,2017/10/3,33.16666667,120.595589,24.305014,74DA3895C4F4,???????,Moderate,#fce700
4,2017/10/4,15.77941176,120.595589,24.305014,74DA3895C4F4,???????,Moderate,#fce700
5,2017/10/5,27.89473684,120.595589,24.305014,74DA3895C4F4,???????,Moderate,#fce700
6,2017/10/6,24.3442623,120.595589,24.305014,74DA3895C4F4,???????,Moderate,#fce700
7,2017/10/7,19.35384615,120.595589,24.305014,74DA3895C4F4,???????,Moderate,#fce700
8,2017/10/8,28.69354839,120.595589,24.305014,74DA3895C4F4,???????,Moderate,#fce700
9,2017/10/9,43.50877193,120.595589,24.305014,74DA3895C4F4,???????,Unhealthy for Sensitive Groups,#fc9f00
10,2017/10/10,54.04285714,120.595589,24.305014,74DA3895C4F4,???????,Unhealthy for Sensitive Groups,#fc9f00
11,2017/10/11,13.98214286,120.595589,24.305014,74DA3895C4F4,???????,Good,#56ed00
12,2017/10/12,7.714285714,120.595589,24.305014,74DA3895C4F4,???????,Good,#56ed00
13,2017/10/13,8.26,120.595589,24.305014,74DA3895C4F4,???????,Good,#56ed00
14,2017/10/14,26.69090909,120.595589,24.305014,74DA3895C4F4,???????,Moderate,#fce700
15,2017/10/15,13.23611111,120.595589,24.305014,74DA3895C4F4,???????,Good,#56ed00
16,2017/10/16,17.9,120.595589,24.305014,74DA3895C4F4,???????,Moderate,#fce700
17,2017/10/17,12.84482759,120.595589,24.305014,74DA3895C4F4,???????,Good,#56ed00
18,2017/10/18,18.92647059,120.595589,24.305014,74DA3895C4F4,???????,Moderate,#fce700
19,2017/10/19,15.90140845,120.595589,24.305014,74DA3895C4F4,???????,Moderate,#fce700
20,2017/10/20,16.56923077,120.595589,24.305014,74DA3895C4F4,???????,Moderate,#fce700
21,2017/10/21,22.82539683,120.595589,24.305014,74DA3895C4F4,???????,Moderate,#fce700
22,2017/10/22,36.36507937,120.595589,24.305014,74DA3895C4F4,???????,Unhealthy for Sensitive Groups,#fc9f00
23,2017/10/23,40.98333333,120.595589,24.305014,74DA3895C4F4,???????,Unhealthy for Sensitive Groups,#fc9f00
24,2017/10/24,28.5,120.595589,24.305014,74DA3895C4F4,???????,Moderate,#fce700
25,2017/10/25,23.34328358,120.595589,24.305014,74DA3895C4F4,???????,Moderate,#fce700
26,2017/10/26,23.87671233,120.595589,24.305014,74DA3895C4F4,???????,Moderate,#fce700
27,2017/10/27,30.11594203,120.595589,24.305014,74DA3895C4F4,???????,Moderate,#fce700
28,2017/10/28,39.89473684,120.595589,24.305014,74DA3895C4F4,???????,Unhealthy for Sensitive Groups,#fc9f00
29,2017/10/29,35.70886076,120.595589,24.305014,74DA3895C4F4,???????,Unhealthy for Sensitive Groups,#fc9f00
30,2017/10/30,13.37974684,120.595589,24.305014,74DA3895C4F4,???????,Good,#56ed00
31,2017/10/31,19.73255814,120.595589,24.305014,74DA3895C4F4,???????,Moderate,#fce700
32,2017/11/1,28.41558442,120.595589,24.305014,74DA3895C4F4,???????,Moderate,#fce700
33,2017/11/2,18.22916667,120.595589,24.305014,74DA3895C4F4,???????,Moderate,#fce700
34,2017/11/3,28.69230769,120.595589,24.305014,74DA3895C4F4,???????,Moderate,#fce700
35,2017/11/4,12.54117647,120.595589,24.305014,74DA3895C4F4,???????,Good,#56ed00
36,2017/11/5,26.94202899,120.595589,24.305014,74DA3895C4F4,???????,Moderate,#fce700
37,2017/11/6,36.08,120.595589,24.305014,74DA3895C4F4,???????,Unhealthy for Sensitive Groups,#fc9f00
38,2017/11/7,26.98412698,120.595589,24.305014,74DA3895C4F4,???????,Moderate,#fce700
39,2017/11/8,21.8974359,120.595589,24.305014,74DA3895C4F4,???????,Moderate,#fce700
40,2017/11/9,28.85714286,120.595589,24.305014,74DA3895C4F4,???????,Moderate,#fce700
41,2017/11/10,32.875,120.595589,24.305014,74DA3895C4F4,???????,Moderate,#fce700
42,2017/11/11,26.20895522,120.595589,24.305014,74DA3895C4F4,???????,Moderate,#fce700
43,2017/11/12,17.80769231,120.595589,24.305014,74DA3895C4F4,???????,Moderate,#fce700
44,2017/11/13,55.51470588,120.595589,24.305014,74DA3895C4F4,???????,Unhealthy,#FF0000
45,2017/11/14,24.98876404,120.595589,24.305014,74DA3895C4F4,???????,Moderate,#fce700
46,2017/11/15,22.16666667,120.595589,24.305014,74DA3895C4F4,???????,Moderate,#fce700
47,2017/11/16,33.14473684,120.595589,24.305014,74DA3895C4F4,???????,Moderate,#fce700
48,2017/11/17,52.70909091,120.595589,24.305014,74DA3895C4F4,???????,Unhealthy for Sensitive Groups,#fc9f00
49,2017/11/18,10.08219178,120.595589,24.305014,74DA3895C4F4,???????,Good,#56ed00
50,2017/11/19,9.942857143,120.595589,24.305014,74DA3895C4F4,???????,Good,#56ed00
51,2017/11/20,9.585365854,120.595589,24.305014,74DA3895C4F4,???????,Good,#56ed00
52,2017/11/21,13.15151515,120.595589,24.305014,74DA3895C4F4,???????,Good,#56ed00
53,2017/11/22,18.26388889,120.595589,24.305014,74DA3895C4F4,???????,Moderate,#fce700
54,2017/11/23,22.30645161,120.595589,24.305014,74DA3895C4F4,???????,Moderate,#fce700
55,2017/11/24,17.01923077,120.595589,24.305014,74DA3895C4F4,???????,Moderate,#fce700
